ITEM_NO,PROF_ALPHA_2,DESCR,LST_COST,PRC_1,TAX_CATEG_COD,CATEG_COD,ACCT_COD,ITEM_VEND_NO,PROF_COD_4,PROF_ALPHA_3,PROF_DAT_1,QTY
8-06582-20048-3,DC200-48,Huckle Berry Cluster Pick orange,1.25,2.99,TX,049,049,ERR,A,DC200-48,10/18/24,12
8-06582-20032-2,DCMbbP,Berry Branch cluster,2.5,6.99,TX,049,049,ERR,A,DCMbbP,10/18/24,6
6-23321-09253-2,DCMCHD,Harvest Market Bundle,8,16.99,TX,049,049,ERR,A,DCMCHD,10/18/24,8
8-06502-39425-4,DCMCOAT,Oats Asst colors,4.8,9.99,TX,049,049,ERR,A,DCMCOAT,10/18/24,8
8-06582-29025-9,DCMCPHA,Phalaris Asst colors,4.8,9.99,TX,049,049,ERR,A,DCMCPHA,10/18/24,8
